subject,session,correct_recs,recs,intr,sem,lag,subj
LTP418,8,26,66,40,0.799166509477855,0.3295662525814497,0.555653640349016
LTP418,9,27,84,57,0.6221602491310226,0.3998133018491729,0.6779789855620125
LTP419,5,9,24,15,0.6449393796688736,0.3202477057466751,
LTP419,6,8,15,7,0.7264660339321841,0.3189365953341654,0.8093149540517962
LTP419,7,7,14,7,0.5504369638315778,0.5048149596354167,0.7453703703703703
LTP419,8,7,20,13,0.5042446716326137,0.3648576660318761,0.6465909090909091
LTP419,9,8,23,15,0.2670412851108439,0.1096245429686299,0.7950610500610501
LTP420,6,31,67,36,0.7077292852367016,,
LTP420,7,33,61,28,0.6839004442388162,0.5073211619408117,0.8219580182081966
LTP420,8,37,65,28,0.8162483990181447,0.5601925244835008,0.7559780134354744
LTP420,9,34,61,27,0.653359799034927,0.5254790786646256,0.8142503086422764
LTP421,5,37,65,28,0.7159009311698583,0.5036391732351159,
LTP421,6,42,82,40,0.6412049309239629,0.4035307783892783,0.64939703631546
LTP421,7,88,136,48,0.7219628223303413,0.5341375640351933,0.766179511138833
LTP421,8,103,152,49,0.7564341242962809,0.4456180060214492,0.8962232758632706
LTP421,9,132,189,57,0.7760078301147287,0.4751656921900788,0.8587588859198723
LTP422,5,90,100,10,0.7567068400371129,0.4537944244408761,
LTP422,6,139,151,12,0.7800045917207705,0.475559737381365,0.8844080288033411
LTP422,7,265,278,13,0.7436480628257743,0.5296897135183618,0.8799928940725313
LTP422,8,267,282,15,0.741083749968215,0.5354776249287921,0.9198614461381106
LTP423,5,17,21,4,0.8453685607213363,0.2881318182619567,
LTP423,6,41,49,8,0.9267421234148054,0.4436285123559154,0.5661446740394109
LTP423,7,56,57,1,0.8591886872387278,0.4541649195001437,0.8584437550438995
LTP423,8,82,98,16,0.8742842082815433,0.4830488507613992,0.8091194258998103
LTP423,9,88,98,10,0.8574959414107246,0.5297064408791897,0.9034553796832006
LTP424,5,40,49,9,0.7833766251003088,0.4159538587971002,
LTP424,6,57,66,9,0.7350302173066098,0.6076515415719979,0.719144592156151
LTP424,7,65,83,18,0.7199963672321423,0.4479400907758278,0.7704447993277888
LTP424,8,87,110,23,0.7761747151852824,0.572596334305967,0.7622354983156394
LTP424,9,108,138,30,0.7589766833738086,0.4833518902777902,0.7588600563170527
LTP425,5,26,36,10,0.6335648923280958,0.4503055025163946,
LTP425,6,70,92,22,0.767579898964094,0.5110351693162404,0.7561880974508011
LTP425,7,121,155,34,0.848222078948183,0.4551335130449166,0.8883508873600098
LTP425,8,126,178,52,0.8289932013508328,0.4708183795180659,0.8926826830983668
LTP425,9,222,269,47,0.8792615014913391,0.5236732950483414,0.9391473999153128
LTP427,5,21,33,12,0.5920444439768762,0.5164326298223639,
LTP427,6,35,45,10,0.6058465008571556,0.4898532845048243,0.6561661275803282
LTP427,7,43,51,8,0.6679089049849822,0.5374159431936236,0.6802203389827826
