subject,session,prob
LTP229,5,0.530116507116021
LTP229,6,0.5435533269099362
LTP229,7,0.4910393402293357
LTP229,8,0.48004561954797775
LTP229,9,0.5390702218872092
LTP246,5,0.5669582132494678
LTP246,6,0.4281439887969083
LTP246,7,0.5790388506484632
LTP246,8,0.48416442434537144
LTP246,9,0.5228358699345873
LTP260,5,0.5459438657114194
LTP260,6,0.471905540773828
LTP260,9,0.5348798755980906
LTP312,5,0.5890123183625062
LTP312,8,0.47170503225329397
LTP327,5,0.34494773519163763
LTP327,6,0.6102097605637189
LTP327,7,0.5465574757719488
LTP327,8,0.4976965381110276
LTP327,9,0.4781238399877104
LTP329,7,0.3855063981211694
LTP329,8,0.5159315659527769
LTP329,9,0.4184516703646885
LTP339,5,0.4678386195935897
LTP339,6,0.49907865115316047
LTP339,7,0.4728219967164153
LTP339,8,0.48161271231329844
LTP339,9,0.5055000296955371
LTP347,5,0.4743610822167891
LTP347,6,0.5983892185326067
LTP347,7,0.4857003335495155
LTP347,8,0.3720496687869818
LTP347,9,0.4292120740602936
LTP355,5,0.5961877351938427
LTP355,6,0.5697389640953306
LTP355,7,0.567284610606499
LTP355,8,0.40520662732088897
LTP355,9,0.4670388281753741
LTP356,5,0.6168175145848751
LTP356,6,0.5160405390436332
LTP356,7,0.48212454127369325
LTP356,8,0.45838409369078775
LTP356,9,0.4883070434159768
LTP365,5,0.4549271327222454
LTP365,6,0.46737989114228795
LTP365,7,0.505284230031242
LTP365,8,0.4838709105967024
LTP365,9,0.49759189701332446
LTP372,5,0.5464847148119394
LTP372,6,0.5085492192507383
LTP372,7,0.5679457485498391
LTP372,8,0.4339518656893477
LTP372,9,0.4457353684269294
LTP400,5,0.38711094057035456
LTP400,6,0.5210318608413043
LTP400,7,0.4961604506444935
LTP400,8,0.5661243103611747
LTP400,9,0.48545110692994226
LTP401,5,0.5222248551448015
LTP401,6,0.4523845365743459
LTP401,7,0.4968328007914748
LTP401,8,0.48817424811032145
LTP401,9,0.4793398643938773
LTP402,5,0.6271723927776025
LTP402,6,0.46427908943949686
LTP402,7,0.5860182266432394
LTP402,8,0.43580777201773296
LTP402,9,0.5288133831966887
LTP404,5,0.4821995918761182
LTP404,6,0.5052208422729362
LTP404,7,0.8569322634968425
LTP404,8,0.4801891644727809
LTP404,9,0.5737157898943052
