subject,session,prob
LTP229,6,0.8619811807700356
LTP229,7,0.8817031915082311
LTP229,8,0.9105984595375872
LTP229,9,0.9345424985788597
LTP246,6,0.6759478733218229
LTP246,7,0.5580291151787609
LTP246,8,0.8858171236247039
LTP246,9,0.9259925032536201
LTP260,6,0.6839000895542792
LTP260,9,0.8129626915652259
LTP312,8,0.8699643976038691
LTP327,8,0.8683996449456977
LTP327,9,0.7187100675552498
LTP329,7,0.9750385252888656
LTP329,8,0.917119956802265
LTP329,9,0.7991720776914377
LTP339,6,0.6576840676761959
LTP339,7,0.7343393658615546
LTP339,8,0.8104730229497548
LTP339,9,0.8544861488696018
LTP347,6,0.10294117647058823
LTP347,7,0.9913793103448276
LTP347,8,0.7807971014492754
LTP347,9,0.6944444444444444
LTP355,6,0.8854166666666667
LTP355,7,0.7323926590838357
LTP355,8,0.7535174986612623
LTP355,9,0.8401375169117365
LTP356,6,0.8425969279939801
LTP356,7,0.7766061256056993
LTP356,8,0.8276559606355626
LTP356,9,0.8629541800700206
LTP365,6,0.690190577412384
LTP365,7,0.9060935434821399
LTP365,8,0.9296141608349356
LTP365,9,0.8919023246167976
LTP372,6,0.2222222222222222
LTP372,7,0.43125
LTP372,8,0.8538705338442032
LTP372,9,0.8518151557795773
LTP400,6,0.8892737350213581
LTP400,7,0.8141188788093222
LTP400,8,0.9173678537540664
LTP400,9,0.8796283777643156
LTP401,6,0.6495929995929995
LTP401,7,0.6717804611299497
LTP401,8,0.7591184058476815
LTP401,9,0.8160873513187148
LTP402,6,0.84375
LTP402,7,0.7890557409467309
LTP402,8,0.7643133627442169
LTP402,9,0.5564224174551918
LTP404,6,0.9136904761904762
LTP404,7,0.7772490313874014
LTP404,8,0.6864055299539171
LTP404,9,0.6751192480359146
LTP405,6,0.862405170401494
LTP405,7,0.8979114452798663
LTP405,8,0.8987111235120965
LTP405,9,0.7174836120322238
LTP406,6,0.6420382730444649
LTP406,7,0.6512701953313039
LTP406,8,0.7436655342273014
LTP406,9,0.6240493072117981
LTP407,6,0.6011705504087601
LTP407,7,0.7943499362992468
LTP407,8,0.7942125709237533
LTP407,9,0.8752520084669787
LTP408,6,0.7608413124707973
LTP408,7,0.6020798936683507
LTP408,8,0.8216270899373126
LTP408,9,0.8101647307757821
LTP412,6,0.75
LTP412,7,0.37857142857142856
LTP412,8,0.8974702380952381
LTP412,9,0.7374708216619981
LTP414,6,0.789812271062271
LTP414,7,0.770184234288309
LTP414,8,0.8244686322976807
LTP414,9,0.9213608943503069
LTP415,6,0.8265904372571501
LTP415,7,0.7448390682782217
LTP415,8,0.8368246399894645
LTP415,9,0.8973586384720922
LTP416,6,0.7885147017793211
LTP416,7,0.8989949182967332
LTP416,8,0.8519952670295449
LTP416,9,0.855574118069529
LTP417,6,0.8011792672562047
LTP417,7,0.8895812815155659
LTP417,8,0.8891227615970516
LTP417,9,0.9251287452015969
LTP418,6,0.7767560664112388
LTP418,7,0.46861672278338945
LTP418,8,0.555653640349016
LTP418,9,0.6779789855620125
LTP419,6,0.8093149540517962
LTP419,7,0.7453703703703703
LTP419,8,0.6465909090909091
LTP419,9,0.7950610500610501
LTP420,7,0.8219580182081966
LTP420,8,0.7559780134354744
LTP420,9,0.8142503086422764
LTP421,6,0.64939703631546
LTP421,7,0.766179511138833
LTP421,8,0.8962232758632706
LTP421,9,0.8587588859198723
LTP422,6,0.8844080288033411
LTP422,7,0.8799928940725313
LTP422,8,0.9198614461381106
LTP423,6,0.5661446740394109
LTP423,7,0.8584437550438995
LTP423,8,0.8091194258998103
LTP423,9,0.9034553796832006
LTP424,6,0.719144592156151
LTP424,7,0.7704447993277888
LTP424,8,0.7622354983156394
LTP424,9,0.7588600563170527
LTP425,6,0.7561880974508011
LTP425,7,0.8883508873600098
LTP425,8,0.8926826830983668
LTP425,9,0.9391473999153128
LTP427,6,0.6561661275803282
LTP427,7,0.6802203389827826
LTP427,8,0.7102784109971976
LTP427,9,0.7890075788565014
LTP429,6,0.8338402401027262
LTP429,7,0.7099263279329221
LTP429,8,0.6747451094002165
LTP429,9,0.7029503902314248
LTP430,6,0.6809290380650813
LTP430,7,0.8071761928964122
LTP430,8,0.8295569271032848
LTP430,9,0.8969670976429879
LTP431,6,0.8396616541353383
LTP431,7,0.8524320861937755
LTP431,8,0.805859014100782
LTP431,9,0.8357420339815645
LTP433,6,0.7056097718559704
LTP433,7,0.8693254698543608
LTP435,6,0.7733886483886483
LTP435,7,0.8140493446001148
LTP436,6,0.6457781627976862
LTP436,7,0.8364106075757274
LTP436,8,0.8312399076319767
