subject,session,correct_recs
LTP441,0,138
LTP441,2,182
LTP441,3,195
LTP441,4,199
LTP441,5,183
LTP441,6,208
LTP441,7,223
LTP441,8,185
LTP441,9,197
LTP442,0,185
LTP442,1,155
LTP442,2,186
LTP442,3,161
LTP442,4,198
LTP442,5,192
LTP442,6,187
LTP442,7,200
LTP442,8,155
LTP442,9,226
LTP443,0,219
LTP443,1,240
LTP443,2,217
LTP443,3,218
LTP443,4,197
LTP443,5,230
LTP443,6,219
LTP443,7,230
LTP443,8,233
LTP443,9,253
LTP444,0,191
LTP444,1,204
LTP444,2,223
LTP444,3,237
LTP444,4,209
LTP444,5,275
LTP444,6,232
LTP444,7,211
LTP444,8,240
LTP444,9,188
LTP445,0,105
LTP445,1,141
LTP445,2,117
LTP445,3,135
LTP445,4,127
LTP445,5,136
LTP445,6,126
LTP445,7,153
LTP445,9,214
LTP446,0,177
LTP446,1,210
LTP446,2,215
LTP446,3,236
LTP446,4,220
LTP446,5,243
LTP446,6,225
LTP446,7,237
LTP446,8,223
LTP446,9,228
LTP447,0,168
LTP447,1,204
LTP447,2,198
LTP447,3,213
LTP447,4,198
LTP447,5,225
LTP447,6,211
LTP447,7,199
LTP447,8,202
LTP447,9,231
