subject,session,prob
LTP229,5,0.8399539200918628
LTP229,6,0.8674537956906857
LTP229,7,0.8452044732507266
LTP229,8,0.8774910475865331
LTP229,9,0.8674403741560301
LTP246,5,0.576994233023109
LTP246,6,0.648079517065189
LTP246,7,0.847280537876338
LTP246,8,0.8063147615310196
LTP246,9,0.8099817402987264
LTP260,5,0.6320616208176836
LTP260,6,0.8561746739557654
LTP260,8,0.8622568903146349
LTP260,9,0.8576750711598413
LTP312,5,0.6260100359873582
LTP312,7,0.7341790493544753
LTP312,8,0.7375850001940394
LTP327,5,0.9947643979057592
LTP327,6,0.6668994783872431
LTP327,7,0.6963810739697655
LTP327,8,0.770900245789514
LTP327,9,0.7700771039335773
LTP329,6,0.8059223655732083
LTP329,7,0.8780837664997365
LTP329,8,0.7626523525986214
LTP329,9,0.8165339823511286
LTP339,5,0.6776644814489657
LTP339,6,0.719082093262173
LTP339,7,0.8012528950165377
LTP339,8,0.8144220484634886
LTP339,9,0.7748447722483244
LTP347,5,0.39884517460985713
LTP347,6,0.6862618107345453
LTP347,7,0.5061295904046496
LTP347,8,0.5114481578394572
LTP347,9,0.703370387294945
LTP355,5,0.6687906518398002
LTP355,6,0.40553488229091744
LTP355,7,0.8141059699110503
LTP355,8,0.8044392237395711
LTP355,9,0.836978255749665
LTP356,5,0.7735804986838205
LTP356,6,0.5738230183638376
LTP356,7,0.7977975464780306
LTP356,8,0.7205612926022378
LTP356,9,0.7181992119114624
LTP365,5,0.709039682783245
LTP365,6,0.7892076651753231
LTP365,7,0.8566918462067246
LTP365,8,0.8564185946347368
LTP365,9,0.8714611762356451
LTP372,5,0.5833279530877689
LTP372,6,0.6301447754830026
LTP372,7,0.7299315011117719
LTP372,8,0.8083051134566466
LTP372,9,0.7595058929558586
LTP400,5,0.7505790858689501
LTP400,6,0.8997558132455153
LTP400,7,0.9129742055728015
LTP400,8,0.9161385170948415
LTP400,9,0.8871090730605339
LTP401,5,0.49402668023604923
LTP401,6,0.6980556630988073
LTP401,7,0.736419332106011
LTP401,8,0.7989878880960068
LTP401,9,0.7843226706851493
LTP402,5,0.8028035899059925
LTP402,6,0.6746376977053522
LTP402,7,0.7333667498400026
LTP402,8,0.7069387138458039
LTP402,9,0.73704946680358
LTP404,5,0.4901553467617052
LTP404,6,0.6108678497109207
LTP404,7,0.8945991687411117
LTP404,8,0.7371105918661872
LTP404,9,0.7838172694392311
LTP405,5,0.43037932517875
LTP405,6,0.6488579064564812
LTP405,7,0.7718019814814028
LTP405,8,0.7505515526572863
LTP405,9,0.7269479602823189
LTP406,5,0.6152673393758663
LTP406,6,0.7274743582247852
LTP406,7,0.698921900967039
LTP406,8,0.6153060717668696
LTP406,9,0.7049739066969228
LTP407,5,0.5665472801658186
LTP407,6,0.7464174473621793
LTP407,7,0.7409108349204566
LTP407,8,0.7286144869596247
LTP407,9,0.7662303455669719
LTP408,5,0.6108872456012037
LTP408,6,0.7550980279392202
LTP408,7,0.7871648279005686
LTP408,8,0.8351502071054641
LTP408,9,0.8346882297302782
LTP412,5,
LTP412,6,
LTP412,7,0.6599544355299535
LTP412,8,0.5736928780879819
LTP412,9,0.7879354610011969
LTP414,5,0.5047582205932345
LTP414,6,0.8799979437132144
LTP414,7,0.7477647099887699
LTP414,8,0.7953878516522338
LTP414,9,0.8209528856899458
LTP415,5,0.6841904887460377
LTP415,6,0.742156098841289
LTP415,7,0.7784668655142506
LTP415,8,0.7383563781023611
LTP415,9,0.8122684201743261
LTP416,5,0.651815687346385
LTP416,6,0.7148103569814954
LTP416,7,0.7231379845570828
LTP416,8,0.7624055575585306
LTP416,9,0.7636469382801192
LTP417,5,0.7152128630452752
LTP417,6,0.7902015600717649
LTP417,7,0.819543155550887
LTP417,8,0.7994273309411775
LTP417,9,0.8533296398689668
LTP418,5,0.743455497382199
LTP418,6,0.6017147605505772
LTP418,7,0.27336860670194
LTP418,8,0.799166509477855
LTP418,9,0.6221602491310226
LTP419,5,0.6449393796688736
LTP419,6,0.7264660339321841
LTP419,7,0.5504369638315778
LTP419,8,0.5042446716326137
LTP419,9,0.2670412851108439
LTP420,6,0.7077292852367016
LTP420,7,0.6839004442388162
LTP420,8,0.8162483990181447
LTP420,9,0.653359799034927
LTP421,5,0.7159009311698583
LTP421,6,0.6412049309239629
LTP421,7,0.7219628223303413
LTP421,8,0.7564341242962809
LTP421,9,0.7760078301147287
LTP422,5,0.7567068400371129
LTP422,6,0.7800045917207705
LTP422,7,0.7436480628257743
LTP422,8,0.741083749968215
LTP423,5,0.8453685607213363
LTP423,6,0.9267421234148054
LTP423,7,0.8591886872387278
LTP423,8,0.8742842082815433
LTP423,9,0.8574959414107246
LTP424,5,0.7833766251003088
LTP424,6,0.7350302173066098
LTP424,7,0.7199963672321423
LTP424,8,0.7761747151852824
LTP424,9,0.7589766833738086
LTP425,5,0.6335648923280958
LTP425,6,0.767579898964094
LTP425,7,0.848222078948183
LTP425,8,0.8289932013508328
LTP425,9,0.8792615014913391
LTP427,5,0.5920444439768762
LTP427,6,0.6058465008571556
LTP427,7,0.6679089049849822
LTP427,8,0.6277317717493796
