subject,session,prob
LTP441,0,0.6097322798843248
LTP441,2,0.6948084301899987
LTP441,3,0.6919081268568685
LTP441,4,0.7108415615716854
LTP441,5,0.7137828536409906
LTP441,6,0.7093015170675948
LTP441,7,0.715725856482655
LTP441,8,0.7469608428107205
LTP441,9,0.7244604572623635
LTP442,0,0.5798432147641797
LTP442,1,0.5727883242402368
LTP442,2,0.6091431160108925
LTP442,3,0.5703139354237658
LTP442,4,0.5850807076970933
LTP442,5,0.5428709662661564
LTP442,6,0.5857322448155408
LTP442,7,0.5606893536785222
LTP442,8,0.6183506151314874
LTP442,9,0.6083180897972981
LTP443,0,0.6007884859457046
LTP443,1,0.550496656809799
LTP443,2,0.5540291600311512
LTP443,3,0.5770382078949693
LTP443,4,0.5882939802599377
LTP443,5,0.5683416929808898
LTP443,6,0.571624992768224
LTP443,7,0.6173047453163727
LTP443,8,0.6787279497797125
LTP443,9,0.6401233320104478
LTP444,0,0.5229938425112105
LTP444,1,0.5676178979643496
LTP444,2,0.5479465119857302
LTP444,3,0.524557288562286
LTP444,4,0.5165388897583514
LTP444,5,0.5615221965578787
LTP444,6,0.5432901299994068
LTP444,7,0.5245820740733327
LTP444,8,0.523205959503132
LTP444,9,0.5193767863150416
LTP445,0,0.6656853058668224
LTP445,1,0.6185076370887028
LTP445,2,0.6209878028376133
LTP445,3,0.549570291963506
LTP445,4,0.5433818950045336
LTP445,5,0.5862999568291128
LTP445,6,0.6033667817185763
LTP445,7,0.567294805408829
LTP445,9,0.5678786238720592
LTP446,0,0.699565421554495
LTP446,1,0.592646598081534
LTP446,2,0.6300187710856212
LTP446,3,0.6603178242103348
LTP446,4,0.6807389778342605
LTP446,5,0.7002796523023858
LTP446,6,0.6530013108382074
LTP446,7,0.6115608166155818
LTP446,8,0.6290615184889121
LTP446,9,0.6129629706058377
LTP447,0,0.7208100606375155
LTP447,1,0.656755752626487
LTP447,2,0.6816511326433478
LTP447,3,0.7262892095499651
LTP447,4,0.6902106118090471
LTP447,5,0.6939499288045679
LTP447,6,0.7211098118326623
LTP447,7,0.7550086571522723
LTP447,8,0.7764602206037162
LTP447,9,0.7209096272244641
