subject,session,prob
LTP441,0,0.7236829501915707
LTP441,2,0.6792107583774251
LTP441,3,0.7286637135474343
LTP441,4,0.7727941176470587
LTP441,5,0.6405864197530865
LTP441,6,0.614163614163614
LTP441,7,0.6598544973544974
LTP441,8,0.7011288998357964
LTP441,9,0.7438672438672439
LTP442,0,0.6313214869281051
LTP442,1,0.6406439393939394
LTP442,2,0.6347501240079366
LTP442,3,0.6358374384236453
LTP442,4,0.5855944893680743
LTP442,5,0.7273500881834217
LTP442,6,0.7519996887643948
LTP442,7,0.726179751179751
LTP442,8,0.7421726190476191
LTP442,9,0.6976899092970523
LTP443,0,0.6929282160625446
LTP443,1,0.7116579861111113
LTP443,2,0.7319244493663101
LTP443,3,0.7130507936507938
LTP443,4,0.7308737646001798
LTP443,5,0.7411914765906364
LTP443,6,0.70281498015873
LTP443,7,0.7125477660199886
LTP443,8,0.7438799130763414
LTP443,9,0.6756907008086255
LTP444,0,0.7505753968253971
LTP444,1,0.7061866513673744
LTP444,2,0.6910661516379606
LTP444,3,0.7337993487993488
LTP444,4,0.7034611992945332
LTP444,5,0.6816892175372351
LTP444,6,0.6867042931162105
LTP444,7,0.7192617254057933
LTP444,8,0.726872895622896
LTP444,9,0.736297928262214
LTP445,0,0.6650208170699973
LTP445,1,0.6924029982363316
LTP445,2,0.7138630089717047
LTP445,3,0.6422535505430241
LTP445,4,0.6324296928916493
LTP445,5,0.6786321671525755
LTP445,6,0.6921303986710962
LTP445,7,0.6166315493749123
LTP445,9,0.6024839260598757
LTP446,0,0.6880432728647013
LTP446,1,0.5892227695675972
LTP446,2,0.6686233707575171
LTP446,3,0.6181369936034112
LTP446,4,0.6513931558286399
LTP446,5,0.6275758533501896
LTP446,6,0.6565568048206936
LTP446,7,0.6198175787728025
LTP446,8,0.6646608946608944
LTP446,9,0.6586011904761904
LTP447,0,0.6751897860593512
LTP447,1,0.6231170245876129
LTP447,2,0.615383779082409
LTP447,3,0.7217352092352093
LTP447,4,0.6839969896004379
LTP447,5,0.7036226318484384
LTP447,6,0.6660749094959623
LTP447,7,0.6841322055137846
LTP447,8,0.5555059523809522
LTP447,9,0.620984753550543
