subject,lag,actual_lag_count,poss_lag_count,prob
LTP427,3.0,0.0,19.0,0.0
LTP429,3.0,5.0,69.0,0.07246376811594203
LTP430,3.0,2.0,50.0,0.04
LTP431,3.0,0.0,10.0,0.0
LTP433,3.0,0.0,114.0,0.0
LTP435,3.0,0.0,38.0,0.0
LTP436,3.0,1.0,39.0,0.02564102564102564
LTP229,4.0,0.0,17.0,0.0
LTP246,4.0,1.0,5.0,0.2
LTP260,4.0,0.0,14.0,0.0
LTP312,4.0,0.0,10.0,0.0
LTP327,4.0,0.0,3.0,0.0
LTP329,4.0,0.0,0.0,
LTP339,4.0,0.0,0.0,
LTP347,4.0,0.0,29.0,0.0
LTP355,4.0,1.0,3.0,0.3333333333333333
LTP356,4.0,2.0,27.0,0.07407407407407407
LTP365,4.0,1.0,23.0,0.043478260869565216
LTP372,4.0,0.0,0.0,
LTP400,4.0,3.0,50.0,0.06
LTP401,4.0,0.0,4.0,0.0
LTP402,4.0,0.0,4.0,0.0
LTP404,4.0,2.0,20.0,0.1
LTP405,4.0,1.0,28.0,0.03571428571428571
LTP406,4.0,0.0,4.0,0.0
LTP407,4.0,1.0,27.0,0.037037037037037035
LTP408,4.0,2.0,26.0,0.07692307692307693
LTP412,4.0,0.0,2.0,0.0
LTP414,4.0,0.0,3.0,0.0
LTP415,4.0,0.0,2.0,0.0
LTP416,4.0,0.0,4.0,0.0
LTP417,4.0,2.0,20.0,0.1
LTP418,4.0,0.0,31.0,0.0
LTP419,4.0,2.0,15.0,0.13333333333333333
LTP420,4.0,0.0,0.0,
LTP421,4.0,0.0,28.0,0.0
LTP422,4.0,0.0,10.0,0.0
LTP423,4.0,0.0,4.0,0.0
LTP424,4.0,0.0,9.0,0.0
LTP425,4.0,1.0,10.0,0.1
LTP427,4.0,0.0,12.0,0.0
LTP429,4.0,2.0,36.0,0.05555555555555555
LTP430,4.0,1.0,40.0,0.025
LTP431,4.0,1.0,4.0,0.25
LTP433,4.0,0.0,61.0,0.0
LTP435,4.0,0.0,10.0,0.0
LTP436,4.0,0.0,16.0,0.0
