subject,session,prob
LTP441,3,0.6865839752843015
LTP441,4,0.7090104749798203
LTP441,5,0.6908593836428145
LTP441,6,0.6608629433563713
LTP441,7,0.7352195989906525
LTP441,8,0.733040395542795
LTP441,9,0.7395877598302042
LTP442,1,0.5012359310330347
LTP442,2,0.49701308810296896
LTP442,3,0.5212594117461679
LTP442,4,0.4937700704196094
LTP442,5,0.45867669254951127
LTP442,6,0.5932552038821984
LTP442,7,0.5200004846955181
LTP442,8,0.6144757590570726
LTP442,9,0.6297293870291863
LTP443,1,0.5226361698729943
LTP443,2,0.4859257125798314
LTP443,3,0.49284899267514837
LTP443,4,0.5658167304032308
LTP443,5,0.6200099503102079
LTP443,6,0.6906165502524716
LTP443,7,0.5716418787619786
LTP443,8,0.6378097929359842
LTP443,9,0.6115523868395935
LTP444,1,0.4560750092883798
LTP444,2,0.530141925019687
LTP444,3,0.4988219465231226
LTP444,4,0.4773973874682584
LTP444,5,0.5123954686766508
LTP444,6,0.5057510221883348
LTP444,7,0.5078476698529144
LTP444,8,0.5380538692160377
LTP444,9,0.5588918898507681
LTP445,1,0.5467189993649951
LTP445,2,0.5578374499147472
LTP445,3,0.35608798841566
LTP445,4,0.550275789747998
LTP445,5,0.5902966056833303
LTP445,6,0.5490747318991993
LTP445,7,0.4929959819700538
LTP446,1,0.5244404617549533
LTP446,2,0.5448724719946731
LTP446,3,0.5248413009880565
LTP446,4,0.569692687851114
LTP446,5,0.6353251984994105
LTP446,6,0.5969169543801335
LTP446,7,0.5332885294241483
LTP446,8,0.5542423616318194
LTP446,9,0.5742129665782779
LTP447,1,0.5662944449511805
LTP447,2,0.6426640867745251
LTP447,3,0.6061894937753097
LTP447,4,0.7152918964025929
LTP447,5,0.6411309453583321
LTP447,6,0.7029338181351202
LTP447,7,0.641552561560035
LTP447,8,0.8112097434609353
LTP447,9,0.6799982966412416
